Number         Binary                        Hexadecimal    
------------------------------------------------------------
-39            1111011001                    FFFFFFD9       
-36            1111011100                    FFFFFFDC       
8              1000                          8              
34             100010                        22             
17             10001                         11             
49             110001                        31             
5              101                           5              
0              0                             0              
33             100001                        21             
12             1100                          C              
-6             1111111010                    FFFFFFFA       
27             11011                         1B             
-4             1111111100                    FFFFFFFC       
-38            1111011010                    FFFFFFDA       
26             11010                         1A             
49             110001                        31             
29             11101                         1D             
42             101010                        2A             
-16            1111110000                    FFFFFFF0       
34             100010                        22             
20             10100                         14             
0              0                             0              
25             11001                         19             
45             101101                        2D             
3              11                            3              
-46            1111010010                    FFFFFFD2       
-46            1111010010                    FFFFFFD2       
29             11101                         1D             
33             100001                        21             
29             11101                         1D             
26             11010                         1A             
-5             1111111011                    FFFFFFFB       
-36            1111011100                    FFFFFFDC       
12             1100                          C              
45             101101                        2D             
-50            1111001110                    FFFFFFCE       
0              0                             0              
-6             1111111010                    FFFFFFFA       
------------------------------------------------------------
Elapsed Time (s)    0.0010
